Apple Identifier,Begin Date,CMB,Category,Client,Country Code,Currency of Proceeds,Customer Currency,Customer Price,Developer,Developer Proceeds,Device,End Date,Order Type,Parent Identifier,Period,Preserved Pricing,Proceeds Reason,Product Type Identifier,Promo Code,Provider,Provider Country,SKU,Subscription,Supported Platforms,Title,Units,Version,_report_date
6502218501,05/28/2026,,Finance, ,CL,CLP,CLP,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/28/2026, , , , , ,3F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-28
6502218501,05/28/2026,,Finance, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/28/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,2,45.1,2026-05-28
6502218501,05/28/2026,,Finance, ,UZ,USD,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/28/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-28
6502218501,05/27/2026,,Finance, ,DE,EUR,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/27/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-27
6502218501,05/27/2026,,Finance, ,CA, ,CAD,0.00,Joao Victor Flores da Costa,0.00,Desktop,05/27/2026, , , , , ,F1, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-05-27
6502218501,05/27/2026,,Finance, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/27/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-27
6502218501,05/27/2026,,Finance, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/27/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-27
6502218501,05/27/2026,,Finance, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,Desktop,05/27/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.0,2026-05-27
6502218501,05/27/2026,,Finance, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/27/2026, , , , , ,1F, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-27
6502218501,05/27/2026,,Finance, ,US,USD,USD,0.00,Joao Victor Flores da Costa,0.00,iPad,05/27/2026, , , , , ,F7, ,APPLE,US,MeusGastos, ,iOS and macOS,My Expenses: Personal Finances,1,45.1,2026-05-27
